iso3,outcome,pre_rmspe,post_rmspe,att_headline,att_full,gap_2002,gap_2003,gap_2004,gap_2005,gap_2006,gap_2007,gap_2008,gap_2009,gap_2010,gap_2011,gap_2012,gap_2013,gap_2014,gap_2015,gap_2016,gap_2017,gap_2018,gap_2019
GNB,log_mmr,0.02214528113002782,0.2739881502215258,0.06797459718346421,0.2167878102145421,0.01760316871016787,0.014592984310348278,-0.015330583004095288,0.020799472617399672,-0.03207707524155001,-0.03546978666682943,0.02091050842679909,0.0029227298174694383,-0.022910897905354943,0.004595499928790048,0.10732179106732076,0.182891995643101,0.1388269644975546,0.18648139990417345,0.2796333680228358,0.33137880845845924,0.4434032884188648,0.5162558841096763
GNB,log_u5mr,0.0024280606594222274,0.04573957757710164,-0.018336639708596003,-0.039770191417684765,-0.0008615033157735041,-3.1012433009180995e-05,0.00019561177749505276,-0.0032709404779565077,0.0041700015025707415,0.002397579006683692,0.0004640356058391859,-0.0035115148506781324,-0.011082219661517456,-0.01723361295029502,-0.021041009230878593,-0.023989716991692944,-0.03479160658908853,-0.054292098728009996,-0.041732436836484865,-0.04792765808418675,-0.05429984723955972,-0.09131170786513376
MDG,log_mmr,0.00785066217840584,0.3258668780599808,0.08806857973821525,0.2740203847903676,0.002519442679226991,-0.008170598578645105,0.000620150318481727,-0.0002862860044823279,0.012520636524900652,-0.00443178373055364,-0.014811234109571636,0.004869358541210289,0.020353853415064016,0.04868958487965536,0.10801521499459632,0.1752156656635453,0.24279344554886606,0.3050152822688377,0.36824759866516477,0.43069268707268726,0.4920810143036807,0.5490995010915789
MDG,log_u5mr,0.0004829605198830302,0.07878674303235682,0.0006614112033727082,0.054449561073182016,0.00018633978621540592,5.0001666438426184e-05,-0.00019736128872427372,-0.00036921374347098634,0.0004342374074761679,-3.2579911940722184e-05,-0.0009650699073908697,0.0007297468451676892,-0.003316844240012884,-0.004418024971082346,-0.00138940403505039,0.011769918059636453,0.028001339511512846,0.048416496087145156,0.07094974318937286,0.10074616465321551,0.13186552970925192,0.16187069276783106
MOZ,log_mmr,0.0036288027293719842,0.3230718283917908,-0.027591657788859303,0.22749057943187817,0.002101536686821781,-0.004175663623976256,0.0004266452434054102,0.002130333407132312,-0.004647542773561497,0.007557486833074556,-0.0002348985564415429,-4.7601025854326906e-05,-0.03935137749068751,-0.09751809987765103,-0.09055644453498246,0.11705929074788379,0.3848324235164675,0.4856543887113256,0.5226202669602591,0.4601841074313935,0.28070201317289545,0.2512792256818779
MOZ,log_u5mr,0.004018812980043096,0.029122842849466472,0.032007012564293946,0.023678799508954285,0.007030784487095154,-0.002260204106304897,-0.006507093292921873,-0.004564253429333753,0.0033684799858955117,-0.0002227734991482322,0.00030247919930292966,-6.290817976672969e-05,0.03197153390565344,0.04390106839335317,0.028654527313273448,0.02350092064489573,0.010210544041423297,-0.013196119898165826,0.008018141394283695,0.0234019136048067,0.03557369142273181,0.04475177426728738
MRT,log_mmr,0.005604154600130566,0.27803394065596165,0.11805623491483397,0.2471692534764423,-0.0022630944723331936,0.002654260479118875,0.007266066852384512,-0.012635646288496893,0.0011406877380730762,0.0012280513545794847,-0.003970669555365625,0.0028381182112608982,0.05461945807145163,0.07802168864313686,0.14233683591574664,0.19724695702900075,0.22025691884499743,0.25493465399502924,0.3061245653890783,0.3676951771730428,0.406029275931056,0.4444270037718834
MRT,log_u5mr,0.000777065941389372,0.05022561792477478,0.043085676062913025,0.04108666656177897,0.0004173347909084413,-3.762541475982317e-05,-0.0003994140875569485,0.0012750399682763813,-0.0008521520994078102,0.0005292406206711675,-0.000977518631719576,0.0009528944191812272,0.008166941425375107,0.03454125627995053,0.0636775531466598,0.06595695339966667,0.0624148618743674,0.07239811573873123,0.062496796648981334,0.040070708243033604,0.021924865634302737,-0.020781386773278676
NAM,log_mmr,0.00513172733974617,0.6606255529306693,-0.07017285124706185,-0.5268713817680095,0.0019152945847009661,0.0030588071305857056,-0.004299830227525447,-0.009391242101521868,0.005523526581921345,-0.0017363380280848162,0.005939361729749848,-0.0047083062673278775,0.03580207629702237,0.0674718560695986,-0.027730164534761848,-0.3562351728201065,-0.7127836346940732,-0.8904231212773643,-0.9928304147522766,-0.9535593236356874,-0.7318321753375914,-0.7065937429948548
NAM,log_u5mr,0.00419192769007454,0.4447277374990959,0.22336763425426776,0.4074899522504232,-0.001217413993666483,-0.0038025217955848234,0.0032716881599181846,-0.0028786016642889933,0.0009177724741364912,0.009619923438648037,-0.0032212557984152568,-0.0013728729280906293,0.04729025536346976,0.1801965226732536,0.31364701328082445,0.3523367456995232,0.3856836824504386,0.48768422608889805,0.550039286793766,0.5680133798268567,0.614683971124383,0.5753244392028183
